"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1936780938392084572","Mon Jun 23 01:36:49 +0000 2025","1","@ay_d131 Bismillah yaaa marii kita usahakan ketemu junghwan itu","1936961608171098523","","ay_d131","in","","0","1","0","https://x.com/undefined/status/1936961608171098523","991308819375341568",
"1936837081785045418","Sun Jun 22 17:21:59 +0000 2025","0","jeno ndekem mulu nih mahasiswa smt tua lagi stres kuliah kah?","1936837081785045418","","","in","","0","0","0","https://x.com/undefined/status/1936837081785045418","1260905980574879744",
"1936818833278587324","Sun Jun 22 16:12:11 +0000 2025","0","@enbiian Lingkaran setan di kuliah adalah siklus berulang di mana masalah memperburuk dirinya sendiri. Contohnya tekanan akademik menyebabkan stres yang menurunkan prestasi lalu meningkatkan tekanan lagi. Kurang tidur akibat beban tugas juga memicu stres dan performa buruk. Media","1936819517512188402","","enbiian","in","","0","0","0","https://x.com/undefined/status/1936819517512188402","1720665183188922368",
"1936805699700551902","Sun Jun 22 15:17:17 +0000 2025","0","Sehat sehat anak plat K yang kuliah di semarang udah kena rob terus tadi dapat info kalo besok demo odol stres beratt gueee","1936805699700551902","","","in","","0","0","0","https://x.com/undefined/status/1936805699700551902","1427975010270932998",
"1936789258528039216","Sun Jun 22 14:41:46 +0000 2025","0","@bluishstore sumpaa.. aku sangat stres kuliah and then melihat literli adik mungilku yang main roblox pas dia kelas 5 sd dan Ak kuliah tertarik dengan game ini HEAL MY STRESFUL CAMPUS ERA BANGETS awalnya si noob inj cuma main dress to impress xixix sekarang suda juragan gag dll","1936796762007904416","","bluishstore","in","","0","0","0","https://x.com/undefined/status/1936796762007904416","1902977571685638144",
"1936794572442796279","Sun Jun 22 14:41:21 +0000 2025","0","@CharityWld Iya sama wehh semuanya erro nih","1936796654520385659","","CharityWld","in","","0","0","0","https://x.com/undefined/status/1936796654520385659","991308819375341568",
"1936794572442796279","Sun Jun 22 14:33:04 +0000 2025","1","Nih link streaming transtv kenapa sih bjirr gue ampe bolak balik ke beberapa web cok tp tetap gak bisa lagi asik²td pas yellow ehh bjirr tiba²erro emosi aing","1936794572442796279","","","in","","0","1","0","https://x.com/undefined/status/1936794572442796279","991308819375341568",
"1936769042678997361","Sun Jun 22 14:01:54 +0000 2025","0","@jjeongniee WOE KENAPA","1936786729576563041","","jjeongniee","in","","0","0","0","https://x.com/undefined/status/1936786729576563041","1645502777509150720",
"1936780303349264552","Sun Jun 22 13:59:45 +0000 2025","0","@CharityWld Xixixi sama²kak skrnag udh mulai lgi trejo nih","1936786186724667570","","CharityWld","in","","0","1","0","https://x.com/undefined/status/1936786186724667570","991308819375341568",
"1936432910191690139","Sat Jun 21 14:35:57 +0000 2025","0","aiwkaowkiak pads main gag smua https://t.co/5bRsf4WSMJ","1936432910191690139","https://pbs.twimg.com/media/Gt-XdmOWcAAyU7-.jpg","","in","","0","0","0","https://x.com/undefined/status/1936432910191690139","1410466897989050372",
"1936398669487677713","Sat Jun 21 14:31:46 +0000 2025","0","@YoungOneNa @aiurskiest Oalahh ini kamu sama kaya aku waktu 2022 cuma bedanya aku dipindahkan pas udh msk ke dlm wehh","1936431858826543382","","YoungOneNa","in","","0","0","0","https://x.com/undefined/status/1936431858826543382","991308819375341568",
"1936430832031502541","Sat Jun 21 14:27:42 +0000 2025","8","efek samping kuliah dihantam 180 sks dan stres menjelang semester tua: https://t.co/ucIrgSuLKF","1936430832031502541","https://pbs.twimg.com/amplify_video_thumb/1936430761655365632/img/kOeTElBfVqwPLCAr.jpg","","in","","0","2","0","https://x.com/undefined/status/1936430832031502541","1880389975302369283",
"1936429366394974299","Sat Jun 21 14:21:52 +0000 2025","0","KAKK ditunggu fancam wali nya","1936429366394974299","","","in","","0","0","0","https://x.com/undefined/status/1936429366394974299","991308819375341568",
"1936398669487677713","Sat Jun 21 14:19:29 +0000 2025","0","@YoungOneNa @aiurskiest Kok bisa kak?","1936428767695741350","","YoungOneNa","in","","0","1","0","https://x.com/undefined/status/1936428767695741350","991308819375341568",
"1936428679443435944","Sat Jun 21 14:19:08 +0000 2025","1","Bneran desek dong tuh standing","1936428679443435944","","","in","","0","0","0","https://x.com/undefined/status/1936428679443435944","991308819375341568",
"1936422105568194727","Sat Jun 21 13:53:01 +0000 2025","0","Haa? sumpah skripsi emang bikin stres tapi kalo lo kerjain pake usaha sendiri ada kebangaan tersendiri loh. Uang sama waktu yg lo pake untuk kuliah jadi ada hasilnya beda kalo pake ai malah keliatan males sama bloon","1936422105568194727","","","in","","0","0","0","https://x.com/undefined/status/1936422105568194727","1370660645775970304",
"1936408192327799289","Sat Jun 21 12:57:44 +0000 2025","0","org² yg suka ngeluh kuliah cape kuliah stres kuliah susah tapi kerjaan kelompok aja ga dikerjain tuh gmn sih konsepnya? capenya tuh darimana? ngapain aja?","1936408192327799289","","","in","","0","0","0","https://x.com/undefined/status/1936408192327799289","1519443697666256896",
"1936385840177115547","Sat Jun 21 11:53:22 +0000 2025","0","@wrzxcf69 lagi stres parah waktu itu jadi kurang waspada... jatuh dari ts kayaknya waktu pulang dari kampus sebelum cuti kuliah. udah lama banget","1936391993338577130","","wrzxcf69","in","","0","0","0","https://x.com/undefined/status/1936391993338577130","1776047626192113664",
